,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
0,У094ТН_84,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
1,Р841УУ_88,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
2,Х327АО_55,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
3,Х102МУ_23,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
4,Е308КС_16,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
5,В208ХР_43,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6,К436СХ_23,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
7,Е276ХХ_40,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
8,А167КВ_10,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
9,Х549РС_20,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
10,К381СК_34,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
11,У794ЕА_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
12,Р118ТН_67,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
13,С655МУ_94,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
14,А560ТО_67,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
15,Р416АР_64,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
16,Т019НЕ_07,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
17,С862РХ_93,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
18,Е278ВУ_92,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
19,Т884УО_28,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
20,О091СВ_74,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
21,Н735АМ_79,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,чёрный
22,М961КЕ_70,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
23,Т505КХ_22,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,серый
24,М606ЕХ_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
25,Р240ОХ_70,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
26,Р474ОР_71,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
27,Н309СН_03,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
28,Е310ХС_56,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
29,У905СМ_48,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
30,Т405АН_77,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
31,В558ХА_69,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
32,У880ММ_89,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,чёрный
33,Е729ЕВ_58,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
34,Т329ЕР_63,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
35,А982ОК_91,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
36,О536ЕВ_17,Land Rover Discovery Sport I Рестайлинг,внедорожник,автомат,полный,180,2.0,Дизель,чёрный
37,У077МХ_58,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
38,К713КЕ_41,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
39,С422ХО_11,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
40,Е425ОО_64,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
41,В954УМ_63,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
42,Х084НТ_94,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
43,У121НА_88,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
44,Н199КН_74,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
45,К139ОК_13,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
46,К818ХА_35,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
47,А339ХМ_89,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
48,С094ВА_10,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
49,К586РО_32,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,синий
50,Н016КА_55,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
51,О110СН_53,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
52,В234РМ_96,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
53,В323УЕ_48,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
54,Т869ЕК_12,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
55,Н318ХР_39,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
56,С925УТ_16,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
57,Е695УВ_12,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
