car_id,car_number,car_model,car_type,transmission,drive_unit,engine_capacity,engine_volume,fuel_type,car_color,price
1,А100ОУ_10,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
2,Р121ОЕ_30,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
3,А341ОЕ_74,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,чёрный,1440000
4,О356ОМ_53,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,белый,300000
5,Т748АН_93,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,870000
6,Е506АУ_12,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,1060000
7,А730ТХ_53,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,1360000
8,М012ЕВ_02,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,3000000
9,М266ОК_38,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,974000
10,О289КА_64,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,серый,1274000
11,Р712ВО_25,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,чёрный,299000
12,Е539МТ_54,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,70000
13,М456КС_13,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,88000
14,Т486ХА_42,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,1085000
15,С821ХХ_04,Audi Q5 II (FY),внедорожник,робот,полный,249,2.0,бензин,синий,1385000
16,А932МЕ_01,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,белый,520000
17,Р624ОХ_58,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,3109000
18,Р243СН_15,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,345000
19,Х193ЕН_55,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,пурпурный,1430324
20,С641АХ_35,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,1730324
21,М000ВА_76,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,579000
