id,accident_id,car_id,driver_id,alcohol_level,is_blamed,is_exited_crash,driver_damage,n_passengers
1,1,1995,13272,0.2343418378188788,False,True,Лёгкие,0
1,1,7967,18333,0.4385044792287565,True,False,Средние,3
1,1,11746,9347,0.7489941726133178,False,False,Лёгкие,2
1,1,4241,234,0.244561920324663,False,False,Лёгкие,1
2,2,11175,14852,0.6038048648902243,False,False,Лёгкие,3
2,2,14025,17065,0.0,True,False,Лёгкие,2
2,2,3433,2536,0.31958886512530105,False,False,Средние,2
2,2,10939,3737,0.0,False,False,Лёгкие,0
3,3,8303,18821,0.8351350398996767,True,False,Лёгкие,3
3,3,13057,10653,1.3709481727204176,False,False,Средние,3
3,3,16502,7278,0.7777565334472134,False,False,Средние,1
3,3,12608,13858,0.8912666052994581,False,False,Лёгкие,3
4,4,10352,2614,0.3648084390766696,False,False,Тяжёлые,2
4,4,13703,18543,0.0,True,False,Лёгкие,3
5,5,1163,5611,0.8875733859116796,False,False,Лёгкие,3
5,5,6373,19999,0.6882401322913497,False,False,Тяжёлые,1
5,5,13629,7520,0.6758604973090511,True,True,Тяжёлые,0
6,6,4837,12003,0.4973793650463918,False,True,Лёгкие,2
6,6,467,18594,0.7483913747350239,True,False,Лёгкие,2
7,7,1809,17861,0.9497952918511294,True,False,Средние,1
7,7,13814,3829,0.6041552822700863,False,False,Средние,1
8,8,12081,5196,0.0,False,False,Лёгкие,2
8,8,4799,5250,0.2153555304629328,True,False,Средние,3
9,9,12198,3441,0.2247647987878204,True,False,Лёгкие,1
9,9,3528,6334,0.0,False,True,Средние,0
9,9,12574,7441,0.6639801018443293,False,False,Тяжёлые,0
10,10,8483,9119,0.323863399420489,False,False,Лёгкие,2
10,10,17437,13629,0.4894684219499932,True,False,Лёгкие,2
10,10,13445,9277,0.5672680776690238,False,False,Средние,1
10,10,16422,16792,0.0,False,False,Лёгкие,2
11,11,12269,8484,0.2036492328264,True,False,Тяжёлые,1
11,11,10589,3602,0.7682561893206866,False,False,Тяжёлые,0
12,12,11322,12866,0.4882361597954183,True,False,Лёгкие,1
12,12,11941,3559,0.2319548176975607,False,False,Лёгкие,3
12,12,14816,9177,0.0,False,False,Средние,0
12,12,2735,19124,0.7886572171165911,False,True,Средние,2
13,13,7990,9024,0.4137218937013756,False,True,Лёгкие,0
13,13,978,13314,0.16257914323573858,True,False,Средние,0
13,13,16468,5045,0.0,False,False,Лёгкие,1
14,14,7198,4623,0.3690550757666765,False,False,Лёгкие,1
14,14,9571,3534,0.6475785804242652,False,False,Тяжёлые,1
14,14,12345,16789,0.3619449668140346,True,False,Средние,0
15,15,11724,15832,1.6768915506541149,True,False,Тяжёлые,3
15,15,13295,3293,1.3361283135921245,False,True,Средние,3
16,16,11331,6349,0.5924103981280912,False,False,Средние,1
16,16,10866,4919,0.0,False,False,Средние,2
16,16,3965,16065,0.0,True,False,Лёгкие,2
16,16,13302,9862,0.22882529943725302,False,False,Лёгкие,2
17,17,9047,5196,0.5219533865391258,True,False,Лёгкие,0
17,17,4437,3000,0.0,False,False,Лёгкие,3
17,17,2214,16244,0.3815270728459377,False,False,Тяжёлые,0
18,18,9916,9225,0.2342597298522773,True,False,Лёгкие,2
18,18,2003,7742,0.0,False,False,Средние,1
18,18,14605,2628,0.8173726230869309,False,False,Лёгкие,3
19,19,8344,5191,0.0,True,False,Лёгкие,1
19,19,3567,16479,0.4669726319470981,False,True,Тяжёлые,1
19,19,8296,19201,0.3312643234544733,False,True,Лёгкие,0
20,20,11785,19161,0.2741453370004181,False,True,Средние,0
20,20,4322,6884,0.924588089024406,True,False,Лёгкие,1
21,21,206,16467,0.7431745598005497,False,False,Лёгкие,1
21,21,4073,10309,0.0,True,False,Лёгкие,1
21,21,13565,12710,0.0,False,False,Лёгкие,0
21,21,14575,15336,0.0,False,False,Лёгкие,3
22,22,10706,13429,0.0,True,False,Лёгкие,2
22,22,3011,3247,0.19738669649137935,False,True,Лёгкие,3
22,22,12615,7767,0.4699552794162186,False,True,Средние,3
23,23,895,11299,0.3084651039508024,False,False,Средние,3
23,23,8418,12820,0.7173587316640839,False,False,Лёгкие,3
23,23,10469,16176,0.0,False,True,Тяжёлые,1
23,23,14579,8025,1.1540906409164802,True,True,Средние,1
24,24,14229,6683,0.4812547517784268,True,False,Тяжёлые,3
24,24,18129,12304,0.0,False,False,Средние,0
24,24,2040,1541,1.2327537473743695,False,False,Средние,1
24,24,3409,8968,0.0,False,False,Лёгкие,1
25,25,3090,670,0.8916850761480756,False,False,Лёгкие,2
25,25,677,6042,0.26728082568079803,True,False,Лёгкие,2
25,25,7926,731,0.15203239382569164,False,True,Лёгкие,2
26,26,10888,240,0.21899653286789744,True,False,Лёгкие,0
26,26,3804,7139,0.3271118860995026,False,False,Лёгкие,2
27,27,61,8010,0.26019604142315694,False,True,Средние,3
27,27,13327,536,0.0,False,False,Тяжёлые,2
27,27,2916,18976,0.5504601813922466,True,False,Лёгкие,3
27,27,6204,15087,0.3786529641242853,False,False,Лёгкие,0
28,28,8932,14236,0.2210383387059809,False,False,Лёгкие,0
28,28,3430,5755,0.8323085054804944,True,False,Средние,2
29,29,12982,16904,0.19197538894575567,False,False,Лёгкие,2
29,29,11584,19167,0.0,True,False,Средние,2
30,30,8239,15858,0.19080152416026666,False,False,Средние,3
30,30,3341,4152,1.0889596287305536,True,False,Лёгкие,1
