region_id,name,region_type,full_name,federal_district,timezone
1,Адыгея,Республика,Республика Адыгея,Южный,3
2,Башкортостан,Республика,Республика Башкортостан,Приволжский,5
3,Бурятия,Республика,Республика Бурятия,Дальневосточный,8
4,Алтай,Республика,Республика Алтай,Сибирский,7
5,Дагестан,Республика,Республика Дагестан,Северо-Кавказский,3
6,Ингушетия,Республика,Республика Ингушетия,Северо-Кавказский,3
7,Кабардино-Балкарская,Республика,Республика Кабардино-Балкарская,Северо-Кавказский,3
8,Калмыкия,Республика,Республика Калмыкия,Южный,3
9,Карачаево-Черкесская,Республика,Республика Карачаево-Черкесская,Северо-Кавказский,3
10,Карелия,Республика,Республика Карелия,Северо-Западный,3
11,Коми,Республика,Республика Коми,Северо-Западный,3
12,Марий Эл,Республика,Республика Марий Эл,Приволжский,3
13,Мордовия,Республика,Республика Мордовия,Приволжский,3
14,Саха /Якутия/,Республика,Республика Саха /Якутия/,Дальневосточный,9
15,Северная Осетия - Алания,Республика,Республика Северная Осетия - Алания,Северо-Кавказский,3
16,Татарстан,Республика,Республика Татарстан,Приволжский,3
17,Тыва,Республика,Республика Тыва,Сибирский,7
18,Удмуртская,Республика,Республика Удмуртская,Приволжский,4
19,Хакасия,Республика,Республика Хакасия,Сибирский,7
20,Чеченская,Республика,Республика Чеченская,Северо-Кавказский,3
21,Чувашская Республика -,Чувашия,Чувашская Республикаублика - Чувашия,Приволжский,3
22,Алтайский,край,Алтайский край,Сибирский,7
23,Краснодарский,край,Краснодарский край,Южный,3
24,Красноярский,край,Красноярский край,Сибирский,7
25,Приморский,край,Приморский край,Дальневосточный,10
26,Ставропольский,край,Ставропольский край,Северо-Кавказский,3
27,Хабаровский,край,Хабаровский край,Дальневосточный,10
28,Амурская,область,Амурская область,Дальневосточный,9
29,Архангельская,область,Архангельская область,Северо-Западный,3
30,Астраханская,область,Астраханская область,Южный,4
31,Белгородская,область,Белгородская область,Центральный,3
32,Брянская,область,Брянская область,Центральный,3
33,Владимирская,область,Владимирская область,Центральный,3
34,Волгоградская,область,Волгоградская область,Южный,4
35,Вологодская,область,Вологодская область,Северо-Западный,3
36,Воронежская,область,Воронежская область,Центральный,3
37,Ивановская,область,Ивановская область,Центральный,3
38,Иркутская,область,Иркутская область,Сибирский,8
39,Калининградская,область,Калининградская область,Северо-Западный,2
40,Калужская,область,Калужская область,Центральный,3
41,Камчатский,край,Камчатский край,Дальневосточный,12
42,Кемеровская область - Кузбасс,область,Кемеровская областьасть - Кузбасс,Сибирский,7
43,Кировская,область,Кировская область,Приволжский,3
44,Костромская,область,Костромская область,Центральный,3
45,Курганская,область,Курганская область,Уральский,5
46,Курская,область,Курская область,Центральный,3
47,Ленинградская,область,Ленинградская область,Северо-Западный,3
48,Липецкая,область,Липецкая область,Центральный,3
49,Магаданская,область,Магаданская область,Дальневосточный,11
50,Московская,область,Московская область,Центральный,3
51,Мурманская,область,Мурманская область,Северо-Западный,3
52,Нижегородская,область,Нижегородская область,Приволжский,3
53,Новгородская,область,Новгородская область,Северо-Западный,3
54,Новосибирская,область,Новосибирская область,Сибирский,7
55,Омская,область,Омская область,Сибирский,6
56,Оренбургская,область,Оренбургская область,Приволжский,5
57,Орловская,область,Орловская область,Центральный,3
58,Пензенская,область,Пензенская область,Приволжский,3
59,Пермский,край,Пермский край,Приволжский,5
60,Псковская,область,Псковская область,Северо-Западный,3
61,Ростовская,область,Ростовская область,Южный,3
62,Рязанская,область,Рязанская область,Центральный,3
63,Самарская,область,Самарская область,Приволжский,4
64,Саратовская,область,Саратовская область,Приволжский,4
65,Сахалинская,область,Сахалинская область,Дальневосточный,11
66,Свердловская,область,Свердловская область,Уральский,5
67,Смоленская,область,Смоленская область,Центральный,3
68,Тамбовская,область,Тамбовская область,Центральный,3
69,Тверская,область,Тверская область,Центральный,3
70,Томская,область,Томская область,Сибирский,7
71,Тульская,область,Тульская область,Центральный,3
72,Тюменская,область,Тюменская область,Уральский,5
73,Ульяновская,область,Ульяновская область,Приволжский,4
74,Челябинская,область,Челябинская область,Уральский,5
75,Забайкальский,край,Забайкальский край,Дальневосточный,9
76,Ярославская,область,Ярославская область,Центральный,3
77,Москва,г,Москва,Центральный,3
78,Санкт-Петербург,г,Санкт-Петербург,Северо-Западный,3
79,Еврейская,Аобласть,Еврейская Аобласть,Дальневосточный,10
83,Ненецкий,АО,Ненецкий АО,Северо-Западный,3
86,Ханты-Мансийский Автономный округ - Югра,АО,Ханты-Мансийский Автономный окру- Югра,Уральский,5
87,Чукотский,АО,Чукотский АО,Дальневосточный,12
89,Ямало-Ненецкий,АО,Ямало-Ненецкий АО,Уральский,5
91,Крым,Республика,Республика Крым,Южный,3
92,Севастополь,г,Севастополь,Южный,3
99,Байконур,г,Байконур,,6
